# Quick RTE A1 check
# seed=2026, n_train=2490, n_val=277, rho=0.01
# y_bar = 0.4984, ||tilde_y_train||^2 = 622.4936
# full-rank ridge val MSE = 0.279070
# null (predict 0) val MSE = 0.249916

# Spectrum statistics
#   lambda_min                          = -1.16361e-12
#   lambda_max                          = 1.19433e+07
#   lambda_median                       = 1724.78
#   rho                                 = 0.01
#   frac_lambda_gt_10rho                = 0.999197
#   frac_lambda_gt_100rho               = 0.999197
#   frac_lambda_lt_rho                  = 0.000803213
#   filter_at_top1pct_min               = 1
#   filter_at_top10pct_min              = 0.999998
#   filter_at_top30pct_min              = 0.999993

    r    LC_lam      LC_s     LC_LC     gap_lam       gap_s      gap_LC     MSE_lam       MSE_s      MSE_LC   ovr_ls  ovr_sLC
-----------------------------------------------------------------------------------------------------------------------------
   24    0.0396    0.1055    0.1055    597.8493    556.8293    556.8293    0.246692    0.245022    0.245022    0.125    1.000
   48    0.0740    0.1696    0.1696    576.3986    516.9127    516.9127    0.236971    0.245426    0.245426    0.229    1.000
   96    0.1173    0.2703    0.2703    549.4945    454.2156    454.2156    0.234530    0.258162    0.258162    0.250    1.000
  240    0.2025    0.4609    0.4609    496.4538    335.5574    335.5574    0.228610    0.269448    0.269448    0.237    1.000
  504    0.3158    0.6722    0.6722    425.8793    204.0339    204.0339    0.239727    0.269099    0.269099    0.298    1.000
  744    0.4116    0.7944    0.7944    366.2494    127.9579    127.9579    0.243104    0.267731    0.267731    0.349    1.000
 1008    0.5175    0.8825    0.8825    300.3628     73.1182     73.1182    0.249320    0.273377    0.273377    0.440    1.000
 1488    0.6795    0.9663    0.9663    199.5239     20.9926     20.9926    0.256014    0.279695    0.279695    0.614    1.000
 1992    0.8404    0.9959    0.9959     99.3654      2.5534      2.5534    0.268745    0.279694    0.279694    0.801    1.000
 2490    1.0000    1.0000    1.0000      0.0000      0.0000      0.0000    0.279070    0.279070    0.279070    1.000    1.000
