setting_id,dataset,regime,train_ratio_tag,val_ratio_tag,imbalance_level,C,n,n_val,kta_train_full,kta_train_via_val_full,kta_train_r1,kta_train_r5,kta_train_r10,kta_train_r15,kta_train_r20,kta_train_r25,kta_train_r30,kta_train_via_val_r1,kta_train_via_val_r5,kta_train_via_val_r10,kta_train_via_val_r15,kta_train_via_val_r20,kta_train_via_val_r25,kta_train_via_val_r30,kta_gap_r1,kta_gap_r5,kta_gap_r10,kta_gap_r15,kta_gap_r20,kta_gap_r25,kta_gap_r30,lc_train_r1,lc_train_r5,lc_train_r10,lc_train_r15,lc_train_r20,lc_train_r25,lc_train_r30,lc_val_r1,lc_val_r5,lc_val_r10,lc_val_r15,lc_val_r20,lc_val_r25,lc_val_r30,lc_gap_r1,lc_gap_r5,lc_gap_r10,lc_gap_r15,lc_gap_r20,lc_gap_r25,lc_gap_r30,pr_c2_train,pr_c2_val,d_eff_rho,d_eff_r1,d_eff_r5,d_eff_r10,d_eff_r15,d_eff_r20,d_eff_r25,d_eff_r30,d_eff_ratio_r1,d_eff_ratio_r5,d_eff_ratio_r10,d_eff_ratio_r15,d_eff_ratio_r20,d_eff_ratio_r25,d_eff_ratio_r30,overlap_LR_A1_r1,overlap_LR_A1_r5,overlap_LR_A1_r10,overlap_LR_A1_r15,overlap_LR_A1_r20,overlap_LR_A1_r25,overlap_LR_A1_r30,recovery_sel1,recovery_sel3,recovery_sel5,recovery_sel10,LR_loss_vs_random_balanced_sel1,LR_loss_vs_random_balanced_sel3,LR_loss_vs_random_balanced_sel5,LR_loss_vs_random_balanced_sel10,nystrom_clip_count
ag_news_cls25_25_25_25_valbal1000_n5000_nv1000,ag_news,valbal,cls25_25_25_25,valbal1000,mild,4,5000,1000,0.0390554581615062,0.0390554581615062,0.038919729638102765,0.03903988122577655,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.038919729638102765,0.03903988122577655,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.0390554581615062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8761766973075905,0.9574643574852477,1.0,1.0,1.0,1.0,1.0,0.6117335352064686,0.8188800847319719,1.0,1.0,1.0,1.0,1.0,0.26444316210112195,0.13858427275327578,0.0,0.0,0.0,0.0,0.0,11.516579814681805,27.188352056396614,4999.94829303922,49.999997133107684,249.9999255964016,499.9996728400794,749.9992155684722,999.9985401501251,1249.997638869954,1499.9965059804008,0.010000102841606623,0.05000050219408151,0.10000096871724938,0.15000139433693724,0.20000177632682592,0.25000211314388265,0.30000240363858394,0.62,0.684,1.0,1.0,1.0,1.0,1.0,-0.006000000000000005,-0.01200000000000001,0.0010000000000000009,-0.007000000000000006,-0.066,-0.057,-0.0629999999999999,-0.073,0
ag_news_cls25_25_25_25_valimb1000_cls55_15_15_15_n5000_nv1000,ag_news,trainbal,cls25_25_25_25,valimb1000_cls55_15_15_15,mild,4,5000,1000,0.039055458206680736,0.26010008377127397,0.03891972968976237,0.03903988127174941,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.26001196546014443,0.26008925106115277,0.26010008377127397,0.26010008377127397,0.26010008377127397,0.26010008377127397,0.26010008377127397,-0.22109223577038206,-0.22104936978940337,-0.22104462556459326,-0.22104462556459326,-0.22104462556459326,-0.22104462556459326,-0.22104462556459326,0.8761767096413285,0.9574643682023252,1.0,1.0,1.0,1.0,1.0,0.5955743516475681,0.819186843727138,1.0,1.0,1.0,1.0,1.0,0.28060235799376043,0.13827752447518715,0.0,0.0,0.0,0.0,0.0,11.516579481895995,21.260552445057126,4999.9482930382255,49.99999713310769,249.9999255964022,499.9996728400856,749.9992155684865,999.9985401501508,1249.9976388699997,1499.9965059804904,0.010000102841608613,0.05000050219409157,0.1000009687172705,0.15000139433696993,0.20000177632687083,0.2500021131439415,0.30000240363866154,0.62,0.684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.030600000000000016,0.5035,0.5612,0.5448,0.5005999999999999,0
ag_news_cls25_25_25_25_valimb1000_cls85_05_05_05_n5000_nv1000,ag_news,trainbal,cls25_25_25_25,valimb1000_cls85_05_05_05,mild,4,5000,1000,0.039055458206680736,0.5976319697881547,0.03891972968976237,0.03903988127174941,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.03905545820668073,0.597627345319532,0.5976295356420263,0.5976319697881548,0.5976319697881548,0.5976319697881548,0.5976319697881548,0.5976319697881548,-0.5587076156297697,-0.5585896543702769,-0.558576511581474,-0.558576511581474,-0.558576511581474,-0.558576511581474,-0.558576511581474,0.8761767096413285,0.9574643682023252,1.0,1.0,1.0,1.0,1.0,0.48555095412955124,0.7378243412876379,1.0,1.0,1.0,1.0,1.0,0.3906257555117773,0.21964002691468731,0.0,0.0,0.0,0.0,0.0,11.516579481895995,30.622270529839387,4999.9482930382255,49.99999713310769,249.9999255964022,499.9996728400856,749.9992155684865,999.9985401501508,1249.9976388699997,1499.9965059804904,0.010000102841608613,0.05000050219409157,0.1000009687172705,0.15000139433696993,0.20000177632687083,0.2500021131439415,0.30000240363866154,0.62,0.684,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5018,0.5541,0.5526,0.5903,0
ag_news_cls55_15_15_15_val1000_n2000_nv1000,ag_news,single,cls55_15_15_15,val1000,mild,4,2000,1000,0.03525331284451628,0.30015758810245224,0.03482210816667718,0.035162918904854124,0.03521694656401235,0.03523525814023824,0.03524565153872976,0.03525331284451627,0.03525331284451627,0.29991987857906505,0.3001030781737384,0.3001347128575151,0.30014591510191313,0.30015250079514133,0.30015758810245224,0.30015758810245224,-0.26509777041238786,-0.26494015926888426,-0.2649177662935027,-0.2649106569616749,-0.26490684925641156,-0.264904275257936,-0.264904275257936,0.7753840385144988,0.8701112560046436,0.9181867396847684,0.9491593152553447,0.9747896505818066,1.0,1.0,0.5632417343835459,0.6994868811890262,0.8008635895020721,0.8774285187736718,0.9378236918500711,1.0,1.0,0.21214230413095292,0.17062437481561732,0.11732315018269623,0.07173079648167291,0.03696595873173547,0.0,0.0,9.627041420897038,22.555328339596738,1999.9842087856841,19.999998857058557,99.99997331705127,199.99989355350607,299.9997543054649,399.9995509488104,499.9992799808515,599.9989363133268,0.010000078385219756,0.050000381441895246,0.1000007363432827,0.15000106150218734,0.20000135460653223,0.250001613904958,0.30000183685331383,0.75,0.63,0.64,0.7066666666666667,0.8175,1.0,1.0,0.252,0.2220000000000001,0.16299999999999992,0.17599999999999993,0.1959999999999999,0.078,0.0769999999999999,0.0359999999999999,0
ag_news_cls55_15_15_15_valbal1000_n5000_nv1000,ag_news,valbal,cls55_15_15_15,valbal1000,mild,4,5000,1000,0.03435872397520885,0.2818399279557286,0.03422725228360476,0.034343886545131964,0.03435872397520886,0.03435872397520886,0.03435872397520886,0.03435872397520886,0.03435872397520886,0.28176450286735544,0.28183046171621057,0.28183992795572854,0.28183992795572854,0.28183992795572854,0.28183992795572854,0.28183992795572854,-0.24753725058375067,-0.2474865751710786,-0.24748120398051968,-0.24748120398051968,-0.24748120398051968,-0.24748120398051968,-0.24748120398051968,0.8606214134165806,0.9519233135911876,1.0,1.0,1.0,1.0,1.0,0.625988388974546,0.8326891417115326,1.0,1.0,1.0,1.0,1.0,0.2346330244420346,0.11923417187965502,0.0,0.0,0.0,0.0,0.0,9.554168603388135,26.503361156521397,4999.9450502495065,49.9999970952306,249.9999220857859,499.9996571954831,749.9991759062174,999.9984639860161,1249.997512361108,1499.996314516136,0.010000109319748525,0.050000533920529874,0.10000103044543103,0.15000148369006397,0.20000189080800285,0.2500022499844735,0.30000255991639013,0.68,0.676,1.0,1.0,1.0,1.0,1.0,0.008000000000000007,0.0,0.030999999999999917,0.10799999999999998,0.0299999999999999,0.0749999999999999,0.1089999999999999,0.065,0
ag_news_cls85_05_05_05_val1000_n2000_nv1000,ag_news,single,cls85_05_05_05,val1000,extreme,4,2000,1000,0.015646191546070616,0.7618560194082025,0.014835853594067016,0.01551946375917773,0.015597286973004429,0.015620867918876383,0.01563484215076678,0.015646191546070613,0.015646191546070613,0.7618638712858805,0.7618572495187195,0.7618549002430011,0.7618543275158196,0.7618548168208352,0.7618560194082025,0.7618560194082025,-0.7470280176918135,-0.7463377857595418,-0.7462576132699966,-0.7462334595969432,-0.7462199746700684,-0.7462098278621319,-0.7462098278621319,0.5614437125365354,0.7650848089348439,0.8528178222010108,0.905476685341402,0.950894842033957,1.0,1.0,0.4494912842635915,0.7061654584913823,0.8095941359410672,0.8859502168379019,0.9502209977481354,1.0,1.0,0.11195242827294388,0.05891935044346153,0.04322368625994355,0.01952646850350015,0.0006738442858216231,0.0,0.0,24.290046021108658,51.58007162150493,1999.98275164406,19.99999883508564,99.99997203253493,199.9998868728157,299.9997376222327,399.9995205749488,499.99922978865936,599.9988602274916,0.010000085660061268,0.050000417228764214,0.10000080586115473,0.150001162447837,0.20000148513587648,0.2500017709540952,0.3000020173845351,0.8,0.65,0.61,0.7,0.82,1.0,1.0,0.01200000000000001,-0.006000000000000005,-0.03200000000000003,-0.007000000000000006,-0.084,-0.209,-0.0999999999999999,-0.014,0
ag_news_cls85_05_05_05_valbal1000_n5000_nv1000,ag_news,valbal,cls85_05_05_05,valbal1000,extreme,4,5000,1000,0.015772669241722055,0.750917460469415,0.015635518405357332,0.015754623491993504,0.01577266924172206,0.01577266924172206,0.01577266924172206,0.01577266924172206,0.01577266924172206,0.7509451406602061,0.7509178092003047,0.750917460469415,0.750917460469415,0.750917460469415,0.750917460469415,0.750917460469415,-0.7353096222548487,-0.7351631857083112,-0.7351447912276929,-0.7351447912276929,-0.7351447912276929,-0.7351447912276929,-0.7351447912276929,0.7855651888267773,0.9188487459120779,1.0,1.0,1.0,1.0,1.0,0.6363553666438194,0.8509143018488572,1.0,1.0,1.0,1.0,1.0,0.14920982218295786,0.06793444406322069,0.0,0.0,0.0,0.0,0.0,16.475564920072582,53.07872890520096,4999.939819793774,49.99999700504334,249.99991658824615,499.9996333508727,749.9991186631067,999.9983562167658,1249.9973365000583,1499.996052851498,0.01000011976286259,0.050000585126754094,0.10000113028790325,0.15000162915841672,0.20000207847661883,0.2500024763401283,0.3000028214166318,0.78,0.652,1.0,1.0,1.0,1.0,1.0,0.008000000000000007,0.007000000000000006,-0.020000000000000018,0.0040000000000000036,-0.239,-0.067,-0.075,-0.054,0
mnli_cls33_33_33_valbal1000_n5000_nv1000,mnli,valbal,cls33_33_33,valbal1000,mild,3,5000,1000,0.005041240122521071,0.005041240122521071,0.004748400395599803,0.004997300599894819,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.004748400395599803,0.004997300599894819,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.005041240122521071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472045426856327,0.7965618093991558,1.0,1.0,1.0,1.0,1.0,0.3721658310299891,0.7366273132225805,1.0,1.0,1.0,1.0,1.0,0.09987959582633787,0.059934496176575314,0.0,0.0,0.0,0.0,0.0,42.53910378747439,95.48005678031257,4999.950477313013,49.999996285624746,249.99990468952367,499.99961621947875,749.9991312908998,999.9984482656912,1249.9975623253079,1499.996468883452,0.010000098303472574,0.05000047616949085,0.10000091370668533,0.15000131195178384,0.200001670577164,0.2500019886191073,0.300002265160345,0.5,0.636,1.0,1.0,1.0,1.0,1.0,0.04199999999999998,0.020000000000000018,0.010000000000000009,0.025000000000000022,-0.042,-0.094,-0.1199999999999999,-0.1249999999999999,0
mnli_cls33_33_33_valimb1000_cls60_20_20_n5000_nv1000,mnli,trainbal,cls33_33_33,valimb1000_cls60_20_20,mild,3,5000,1000,0.005041239863722953,0.19205933063538624,0.004748400127990163,0.004997300417503738,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.19186016779151482,0.19202716618715648,0.19205933063538622,0.19205933063538622,0.19205933063538622,0.19205933063538622,0.19205933063538622,-0.18711176766352466,-0.18702986576965275,-0.18701809077166326,-0.18701809077166326,-0.18701809077166326,-0.18701809077166326,-0.18701809077166326,0.47204548905041477,0.7965621182295888,1.0,1.0,1.0,1.0,1.0,0.361103296274154,0.6921552272391949,1.0,1.0,1.0,1.0,1.0,0.11094219277626077,0.10440689099039391,0.0,0.0,0.0,0.0,0.0,42.53908391318999,103.57903110699338,4999.950477316734,49.999996285624114,249.99990468950108,499.9996162194566,749.9991312908824,999.9984482656896,1249.9975623253322,1499.9964688835175,0.010000098303465006,0.050000476169449116,0.10000091370660648,0.15000131195166874,0.20000167057701487,0.2500019886189261,0.30000226516013484,0.5,0.636,1.0,1.0,1.0,1.0,1.0,0.10610000000000003,0.18170000000000003,0.22280000000000005,0.25730000000000003,0.1011,0.1061,0.1117,0.1061,0
mnli_cls33_33_33_valimb1000_cls90_05_05_n5000_nv1000,mnli,trainbal,cls33_33_33,valimb1000_cls90_05_05,mild,3,5000,1000,0.005041239863722953,0.5317220692194156,0.004748400127990163,0.004997300417503738,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.005041239863722953,0.5317060681600454,0.5317135558553578,0.5317220692194156,0.5317220692194156,0.5317220692194156,0.5317220692194156,0.5317220692194156,-0.5269576680320552,-0.526716255437854,-0.5266808293556926,-0.5266808293556926,-0.5266808293556926,-0.5266808293556926,-0.5266808293556926,0.47204548905041477,0.7965621182295888,1.0,1.0,1.0,1.0,1.0,0.22819938917369578,0.6622206561597896,1.0,1.0,1.0,1.0,1.0,0.24384609987671899,0.13434146206979913,0.0,0.0,0.0,0.0,0.0,42.53908391318999,186.77598715481784,4999.950477316734,49.999996285624114,249.99990468950108,499.9996162194566,749.9991312908824,999.9984482656896,1249.9975623253322,1499.9964688835175,0.010000098303465006,0.050000476169449116,0.10000091370660648,0.15000131195166874,0.20000167057701487,0.2500019886189261,0.30000226516013484,0.5,0.636,1.0,1.0,1.0,1.0,1.0,0.10370000000000001,0.10039999999999999,0.16860000000000003,0.25820000000000004,0.073,0.1045,0.1267,0.1023,0
